#{"t_start": 1679047282.0975914, "env_id": "CarRacing-v0"}
r,l,t
-91.745455,373,24.449588
-50.191571,1000,79.867644
-36.170213,1000,131.033711
-24.731183,1000,183.387187
-47.204969,1000,236.806998
33.561644,1000,290.469437
82.978723,1000,342.709159
66.666667,1000,396.188364
2.389078,1000,449.504927
47.928994,1000,503.35781
36.942675,1000,557.491899
-69.798658,1000,611.409626
-74.842767,1000,664.109413
-84.27673,1000,718.723957
-63.768116,1000,772.809381
-33.110368,1000,827.900228
-77.635783,1000,877.482172
-46.619217,1000,931.254697
21.95122,1000,985.53437
68.421053,1000,1042.271092
24.579125,1000,1096.101487
-52.02952,1000,1154.629426
-18.674699,1000,1208.19094
-56.043956,1000,1262.368563
38.888889,1000,1317.39354
-65.277778,1000,1372.767709
38.996139,1000,1426.817956
-48.207171,1000,1485.843451
-48.339483,1000,1535.910745
12.781955,1000,1587.748327
21.95122,1000,1640.023851
-58.860759,1000,1691.517439
-25.093633,1000,1741.985671
-18.032787,1000,1789.775434
-61.267606,1000,1838.851091
-61.783439,1000,1887.633262
55.063291,1000,1935.768252
-37.908497,1000,1979.590925
-45.762712,1000,2028.793012
-39.393939,1000,2076.362161
-71.731449,1000,2127.005086
-37.5,1000,2177.381595
-9.774436,1000,2225.760343
-72.60274,1000,2275.093506
47.540984,1000,2324.145868
63.043478,1000,2369.43552
-32.432432,1000,2413.566082
-32.539683,1000,2457.876547
8.024691,1000,2503.859086
10.0,1000,2550.849862
-34.931507,1000,2595.320939
-44.250871,1000,2639.540201
-62.457338,1000,2686.759012
159.515571,1000,2734.545151
51.724138,1000,2782.243347
-77.443609,1000,2829.32896
-23.312883,1000,2876.706939
103.647416,1000,2922.939363
17.216117,1000,2968.387626
-26.027397,1000,3011.669774
-23.58804,1000,3055.989819
0.671141,1000,3099.682796
249.514563,1000,3144.678554
37.323944,1000,3188.724191
72.523962,1000,3232.366465
77.165354,1000,3275.854881
-5.956113,1000,3320.546577
-42.14876,1000,3365.553907
230.935252,1000,3409.333702
-33.333333,1000,3453.496897
-5.084746,1000,3498.312245
12.244898,1000,3543.265838
7.255521,1000,3588.136337
233.333333,1000,3632.738784
112.624585,1000,3677.661944
49.006623,1000,3722.477428
131.25,1000,3767.287859
23.745819,1000,3812.028638
47.601476,1000,3856.62245
174.914089,1000,3902.371327
-30.06993,1000,3943.025773
-17.910448,1000,3987.926917
-43.037975,1000,4032.981504
262.179487,1000,4077.858
-32.835821,1000,4122.156487
-53.736655,1000,4168.400507
156.227758,1000,4214.965422
-34.42623,1000,4260.832748
32.686084,1000,4305.389797
267.647059,1000,4349.090305
-21.768707,1000,4396.214501
59.468439,1000,4441.174628
54.135338,1000,4485.658681
27.208481,1000,4533.593985
96.374622,1000,4578.884011
131.270358,1000,4624.287033
124.489796,1000,4668.610082
65.079365,1000,4713.962581
53.846154,1000,4759.274154
110.31746,1000,4804.140687
-0.332226,1000,4850.096088
