#{"t_start": 1679047282.0969708, "env_id": "CarRacing-v0"}
r,l,t
-89.605018,363,24.029215
-55.932203,1000,79.401353
-28.571429,1000,130.519025
3.703704,1000,182.875913
11.524164,1000,236.274554
7.744108,1000,289.896848
129.571984,1000,342.214563
3.703704,1000,395.703861
-42.857143,1000,449.017757
56.666667,1000,502.854491
-72.789116,1000,556.971874
10.778443,1000,610.890163
-62.711864,1000,663.586798
-81.412639,1000,718.23829
-62.585034,1000,772.362165
-64.788732,1000,827.467997
-70.491803,1000,876.942835
-58.955224,1000,930.755184
4.761905,1000,985.00403
-61.805556,1000,1041.720547
-60.655738,1000,1095.602393
15.987461,1000,1154.030187
38.983051,1000,1207.549432
-32.038835,1000,1261.861534
64.179104,1000,1316.861053
-37.304075,1000,1372.260089
-68.992248,1000,1426.295712
0.671141,1000,1485.373989
52.941176,1000,1535.460504
-58.801498,1000,1587.24605
133.898305,1000,1639.509706
-61.309524,1000,1691.093241
32.013201,1000,1741.609627
31.386861,1000,1789.412707
38.888889,1000,1838.502074
1.30719,1000,1887.281088
-58.333333,1000,1935.356263
-26.829268,1000,1979.081887
-1.898734,1000,2028.358622
-23.076923,1000,2075.862431
9.803922,1000,2126.577026
64.634146,1000,2176.938217
-26.470588,1000,2225.320914
31.487889,1000,2274.619992
49.090909,1000,2323.729906
-74.603175,1000,2369.010346
-2.621723,1000,2413.13645
96.022727,1000,2457.45257
-10.0,1000,2503.412021
-79.306918,423,2524.711782
37.323944,1000,2570.387617
-34.482759,1000,2614.232937
-29.530201,1000,2660.133527
3.67893,1000,2707.720753
-26.315789,1000,2755.608165
40.065147,1000,2803.555047
-48.328267,1000,2843.983098
58.62069,1000,2891.402727
-35.275081,1000,2937.921194
173.037543,1000,2982.902549
23.674912,1000,3030.491608
-37.5,1000,3074.493292
-66.244726,1000,3118.849078
189.308176,1000,3163.027015
322.382671,1000,3207.203653
-11.47541,1000,3250.749144
-7.216495,1000,3294.686656
-35.064935,1000,3339.86356
7.255521,1000,3384.460476
79.591837,1000,3428.242181
-27.083333,1000,3472.604444
190.441176,1000,3517.580646
201.675978,1000,3562.726868
378.571429,1000,3607.303518
-41.717791,1000,3652.719672
-25.093633,1000,3697.451361
64.983165,1000,3742.544019
388.461538,1000,3782.26985
187.878788,1000,3826.933346
72.413793,1000,3871.417457
26.984127,1000,3916.623313
50.470219,1000,3961.933617
242.465753,1000,4007.200593
-13.738019,1000,4052.340714
-10.714286,1000,4096.557252
126.973684,1000,4141.374483
-29.292929,1000,4188.130012
-21.259843,1000,4233.677207
65.540541,1000,4279.69786
180.30303,1000,4323.947063
25.490196,1000,4369.514546
163.513514,1000,4415.30654
-32.721713,1000,4460.482939
67.286245,1000,4506.383585
90.789474,1000,4553.394708
104.968944,1000,4598.440575
79.104478,1000,4643.790874
183.276451,1000,4688.309274
236.734694,1000,4729.425422
191.666667,1000,4774.067724
174.021352,1000,4818.925592
