#{"t_start": 1679047282.1008987, "env_id": "CarRacing-v0"}
r,l,t
-96.199357,381,24.721484
-32.624113,1000,80.228855
-27.710843,1000,131.395595
-59.59596,1000,183.771093
34.057971,1000,237.203021
-10.344828,1000,290.925869
-47.540984,1000,343.105784
-2.527076,1000,396.617426
-0.311526,1000,449.901424
17.647059,1000,503.762125
6.617647,1000,557.871382
-83.49835,1000,611.840909
-77.419355,1000,664.487308
-57.746479,1000,719.076345
-40.983607,1000,773.148868
-58.990536,1000,828.232289
-41.176471,1000,877.90248
-17.218543,1000,931.633542
30.15873,1000,985.929633
9.271523,1000,1042.699466
-28.327645,1000,1096.495055
169.480519,1000,1155.071824
78.832117,1000,1208.614054
55.30303,1000,1262.743499
65.540541,1000,1317.808971
56.58363,1000,1373.158401
-63.333333,1000,1427.26228
-46.996466,1000,1486.187006
20.833333,1000,1536.258551
-75.524476,1000,1588.111627
-66.101695,1000,1640.464318
-6.451613,1000,1691.882293
-45.736434,1000,1742.28526
-67.741935,1000,1790.164971
-14.814815,1000,1839.129976
-18.032787,1000,1888.003223
-40.809969,1000,1936.081481
-57.295374,1000,1984.766162
48.648649,1000,2029.121244
-46.428571,1000,2076.687951
49.390244,1000,2127.339643
-64.157706,1000,2177.736871
-21.428571,1000,2226.09854
-54.372624,1000,2275.450961
-33.823529,1000,2324.462997
-3.010033,1000,2369.76054
-52.531646,1000,2413.888169
12.179487,1000,2458.206875
83.908046,1000,2504.184798
-29.054054,1000,2551.175177
98.606272,1000,2595.633672
40.522876,1000,2639.878491
45.522388,1000,2687.048906
-9.395973,1000,2734.826952
-33.333333,1000,2782.51402
-49.820789,1000,2829.58216
19.71831,1000,2876.952496
183.333333,1000,2923.21994
60.655738,1000,2968.64192
-3.780069,1000,3012.033316
217.241379,1000,3056.300325
161.494253,1000,3100.005747
270.106762,1000,3144.994331
10.749186,1000,3189.049856
161.029412,1000,3232.692678
-62.328767,1000,3276.174716
-21.428571,1000,3320.913044
-24.722388,293,3335.820002
45.214521,1000,3380.661741
37.323944,1000,3424.287008
50.943396,1000,3468.942957
3.550296,1000,3514.088464
52.985075,1000,3554.442586
-36.026936,1000,3599.270585
212.903226,1000,3644.199234
-51.048951,1000,3688.82035
29.62963,1000,3733.721903
127.61194,1000,3778.149982
-34.362934,1000,3822.736685
-28.301887,1000,3867.014676
-19.860627,1000,3912.304286
81.818182,1000,3957.740411
126.027397,1000,4002.885575
235.463259,1000,4048.025856
244.947735,1000,4092.291507
52.173913,1000,4137.186012
-25.531915,1000,4184.067388
175.193798,1000,4229.548817
53.333333,1000,4275.917838
106.293706,1000,4320.440637
216.901408,1000,4365.580757
56.028369,1000,4411.515035
81.818182,1000,4456.817724
11.498258,1000,4502.77162
-11.585366,1000,4545.01936
-25.531915,1000,4590.08835
222.344322,1000,4635.411466
75.373134,1000,4679.619906
100.0,1000,4725.168612
6.896552,1000,4769.887378
166.891892,1000,4814.766794
