#{"t_start": 1679047282.0989592, "env_id": "CarRacing-v0"}
r,l,t
-94.042857,370,24.341426
-56.666667,1000,79.74106
4.72973,1000,130.886132
42.348754,1000,183.251977
23.552124,1000,236.665056
134.375,1000,290.309031
10.320285,1000,342.565443
7.913669,1000,396.05196
11.486486,1000,449.368984
24.183007,1000,503.215155
18.421053,1000,557.342268
-80.456026,1000,611.253236
-20.0,1000,663.957122
-27.007299,1000,718.592066
-52.702703,1000,772.683822
-61.309524,1000,827.778292
-78.947368,1000,877.313103
-45.945946,1000,931.119121
-60.31746,1000,985.378832
-43.333333,1000,1042.111707
-53.177258,1000,1095.961802
29.568106,1000,1154.452038
56.133829,1000,1208.027234
-67.42671,1000,1262.235979
-47.368421,1000,1317.241479
-52.681388,1000,1372.631958
-54.887218,1000,1426.673489
2.893891,1000,1485.6964
-56.112853,1000,1535.774108
48.93617,1000,1587.586134
-62.382445,1000,1639.853035
-52.991453,1000,1691.393209
-68.641115,1000,1741.875741
12.318841,1000,1789.66509
-9.090909,1000,1838.746659
-41.37931,1000,1887.533095
-41.818182,1000,1935.654039
52.542373,1000,1979.460288
-50.877193,1000,2028.656885
15.789474,1000,2076.193894
-78.181818,1000,2126.894786
-69.072165,1000,2177.247798
48.550725,1000,2225.632439
9.433962,1000,2274.951599
-56.363636,1000,2324.021614
94.805195,1000,2369.30825
203.921569,1000,2413.435154
-38.311688,1000,2457.74873
-45.121951,1000,2503.727383
24.203822,1000,2550.720511
36.054422,1000,2595.197279
-13.357401,1000,2639.396522
76.895307,1000,2686.656976
49.825784,1000,2734.444272
-19.614148,1000,2782.14024
-26.421405,1000,2829.228697
-48.529412,1000,2876.61096
-13.333333,1000,2922.833354
227.338129,1000,2968.288825
-29.765886,1000,3011.529072
5.095541,1000,3055.865399
555.430712,1000,3099.558395
100.657895,1000,3144.548281
127.106227,1000,3188.586779
47.766323,1000,3232.232563
24.06015,1000,3275.728982
268.600683,1000,3320.417415
255.633803,1000,3365.425871
301.459854,1000,3409.209132
4.815864,1000,3453.372883
58.119658,1000,3498.185099
-32.20339,1000,3543.134659
143.816254,1000,3588.013838
302.930403,1000,3632.61385
32.013201,1000,3677.549428
-50.657895,1000,3722.357875
235.365854,1000,3767.190164
335.810811,1000,3811.931363
-31.972789,1000,3856.525086
3.703704,1000,3902.205094
-27.797834,1000,3942.888735
-17.142857,1000,3987.78994
83.229814,1000,4032.853332
215.340909,1000,4077.731652
183.276451,1000,4122.028417
182.945736,1000,4168.271797
11.940299,1000,4214.844137
134.848485,1000,4260.695707
44.927536,1000,4305.261498
95.205479,1000,4348.963473
135.483871,1000,4396.085626
13.207547,1000,4441.035299
61.290323,1000,4485.529038
177.00831,1000,4533.463384
18.541033,1000,4578.746313
39.240506,1000,4624.169044
34.751773,1000,4668.500128
39.072848,1000,4713.858508
316.949153,1000,4759.163739
202.721088,1000,4804.04181
-2.723735,1000,4849.978231
