#{"t_start": 1679052708.6399555, "env_id": "CarRacing-v0"}
r,l,t
-10.714286,1000,48.390574
-23.076923,1000,97.356884
-14.498141,1000,147.273202
-41.896024,1000,195.834357
-35.59322,1000,248.066589
8.196721,1000,300.877444
105.761317,1000,352.9273
3.559871,1000,403.762287
307.272727,1000,455.780887
350.757576,1000,508.228579
298.523985,1000,563.004029
124.7557,1000,615.745786
246.031746,1000,669.567747
139.130435,1000,721.658895
357.446809,1000,774.714911
218.644068,1000,828.522917
196.875,1000,881.257871
96.153846,1000,934.284583
188.07947,1000,988.347324
299.317406,1000,1041.9737
106.293706,1000,1095.55126
139.543726,1000,1143.888804
231.103679,1000,1197.77468
445.098039,1000,1251.324804
93.30855,1000,1309.965836
443.209877,1000,1363.921644
551.685393,1000,1417.992466
425.951557,1000,1471.376263
331.29771,1000,1524.04656
224.723247,1000,1576.426678
361.538462,1000,1629.393191
165.780731,1000,1683.527533
424.822695,1000,1736.757351
539.86014,1000,1789.70279
499.264706,1000,1842.682395
414.59854,1000,1896.498877
755.018587,1000,1963.065492
326.966292,1000,2037.122416
388.448845,1000,2112.605926
553.846154,1000,2189.094433
425.423729,1000,2265.697562
400.0,1000,2334.535947
686.184211,1000,2385.337896
777.862595,1000,2441.495997
435.928144,1000,2498.974663
432.051282,1000,2556.512933
319.463087,1000,2613.947787
251.791531,1000,2670.884245
332.950192,1000,2727.106931
221.917808,1000,2782.945138
-119.985906,872,2833.851078
334.74526,730,2873.047969
641.935484,1000,2930.275958
825.619835,1000,2987.928619
365.408805,1000,3043.452065
609.77918,1000,3100.137534
809.448819,1000,3159.993603
9.246154,447,3185.36134
226.470588,1000,3241.507425
564.335664,1000,3299.927772
445.454545,1000,3357.328542
567.731629,1000,3415.469303
445.774648,1000,3473.58279
680.0,1000,3530.393098
305.797101,1000,3587.10183
377.8157,1000,3643.836417
865.517241,1000,3700.694446
795.081967,1000,3751.054561
730.128205,1000,3808.463854
160.736196,1000,3865.283993
847.194719,1000,3922.435837
783.458647,1000,3978.29185
747.887324,1000,4035.129647
677.408638,1000,4092.336476
601.298701,1000,4152.16724
778.04878,1000,4203.839358
596.696697,1000,4252.432701
841.605839,1000,4297.829363
886.754967,1000,4346.101637
893.548387,1000,4392.196746
578.125,1000,4438.448296
363.022508,1000,4484.031617
861.805556,1000,4528.68258
872.972973,1000,4574.205343
837.5,1000,4620.447662
827.21519,1000,4665.911706
869.798658,1000,4710.854776
840.993789,1000,4756.475968
921.5,785,4789.050171
931.8,682,4818.5003
751.211073,1000,4864.32127
871.830986,1000,4910.681974
823.611111,1000,4956.079003
849.640288,1000,5002.882364
245.637584,1000,5050.393378
587.5,1000,5094.902325
871.929825,1000,5139.751889
793.382353,1000,5184.660055
518.320611,1000,5228.901391
823.636364,1000,5273.575343
635.367153,932,5316.505615
826.910299,1000,5361.394578
735.616438,1000,5406.253375
517.647059,1000,5452.105349
785.017422,1000,5496.508352
920.6,794,5529.250592
393.197279,1000,5575.230567
839.285714,1000,5620.044348
904.8,952,5662.597795
877.635783,1000,5706.142876
340.740741,1000,5750.662557
430.054645,1000,5795.769725
856.375839,1000,5841.750233
589.440994,1000,5886.765544
744.594595,1000,5935.273792
838.628159,1000,5982.296571
481.395349,1000,6024.095063
836.170213,1000,6071.312831
782.165605,1000,6120.729492
746.938776,1000,6170.056184
606.94864,1000,6217.685444
930.2,698,6253.282109
713.559322,1000,6302.50219
831.972789,1000,6350.013577
850.381679,1000,6397.165699
667.371601,1000,6438.75076
782.113821,1000,6486.518161
