#{"t_start": 1679052708.6417263, "env_id": "CarRacing-v0"}
r,l,t
-25.266904,1000,48.440766
4.100946,1000,97.410604
3.571429,1000,147.337461
-11.660777,1000,195.888237
-47.204969,1000,248.128601
55.555556,1000,300.936739
-21.768707,1000,352.986714
70.818505,1000,403.82908
28.676471,1000,455.836323
9.634551,1000,508.286543
82.509506,1000,563.069638
419.855596,1000,615.815078
85.328185,1000,669.631786
190.22082,1000,721.718386
48.648649,1000,774.788606
261.702128,1000,828.581622
220.0,1000,881.313837
266.300366,1000,934.343807
80.327869,1000,988.40159
224.414716,1000,1042.028011
106.586826,1000,1095.605845
349.324324,1000,1143.956906
310.774411,1000,1197.843547
490.909091,1000,1251.38118
-65.277778,1000,1310.028999
349.838188,1000,1363.988446
449.090909,1000,1418.052263
154.180602,1000,1471.435837
37.5,1000,1524.105302
489.928058,1000,1576.489294
461.056106,1000,1629.450433
199.674267,1000,1683.598534
414.195584,1000,1736.802115
334.163701,1000,1789.752481
59.322034,1000,1842.726196
444.871795,1000,1896.548408
730.882353,1000,1963.133666
7.491857,1000,2037.189346
531.578947,1000,2112.671518
372.924188,1000,2189.156261
495.808383,1000,2265.785637
574.242424,1000,2334.588083
547.058824,1000,2385.382315
498.484848,1000,2441.540583
413.69863,1000,2499.020492
537.037037,1000,2556.556292
633.766234,1000,2613.99269
256.115108,1000,2670.925195
523.794212,1000,2727.14237
317.721519,1000,2782.976727
754.785479,1000,2840.098901
724.915825,1000,2896.944897
243.283582,1000,2954.019921
349.685535,1000,3011.793863
341.935484,1000,3067.226622
380.565371,1000,3123.275311
134.759459,998,3182.917695
791.791045,1000,3239.088493
833.333333,1000,3297.542635
849.275362,1000,3355.026017
813.043478,1000,3413.182077
260.759494,1000,3471.415339
885.454545,1000,3528.207467
702.047782,1000,3579.432411
364.944649,1000,3635.750716
462.937063,1000,3692.660181
822.033898,1000,3748.900043
843.462898,1000,3806.1468
606.070288,1000,3862.915819
882.45614,1000,3920.081889
863.099631,1000,3976.016809
518.729097,1000,4032.858761
804.942966,1000,4089.44172
361.818182,1000,4150.190982
882.332155,1000,4202.091993
667.515924,1000,4250.455731
742.519685,1000,4296.01457
887.5,1000,4344.030314
842.760943,1000,4390.254764
700.595238,1000,4436.413696
795.424837,1000,4482.127991
896.491228,1000,4526.979056
881.617647,1000,4572.620262
660.233918,1000,4618.955011
824.092409,1000,4664.286004
831.654676,1000,4704.220132
908.4,916,4746.855922
818.149466,1000,4792.142405
889.51049,1000,4837.648329
584.542587,1000,4883.075189
880.066445,1000,4929.653972
413.432836,1000,4974.925015
840.789474,1000,5024.110402
445.751634,1000,5068.729898
369.594595,1000,5113.192924
859.259259,1000,5158.645527
887.447699,1000,5202.735451
853.488372,1000,5248.055684
349.180328,1000,5292.369525
359.930314,1000,5337.949887
561.818182,1000,5382.670892
704.511278,1000,5428.122201
195.668421,893,5464.616016
567.79661,1000,5509.498009
871.731449,1000,5554.767115
745.201238,1000,5600.441858
854.022989,1000,5644.550666
917.7,823,5682.599555
867.741935,1000,5725.963006
368.531469,1000,5771.070924
763.799283,1000,5817.206518
758.267717,1000,5861.850762
927.8,722,5892.362732
666.233766,1000,5940.418314
525.429553,1000,5987.679417
839.597315,1000,6034.744566
756.25,1000,6082.031897
935.1,649,6113.0379
568.73065,1000,6162.301899
756.65529,1000,6210.182323
687.456446,1000,6257.331972
614.776632,1000,6306.663336
788.888889,1000,6353.612093
841.979522,1000,6400.551231
646.621622,1000,6446.972599
653.289474,1000,6494.915256
