#{"t_start": 1679052708.6380293, "env_id": "CarRacing-v0"}
r,l,t
-34.85342,1000,48.330312
19.354839,1000,97.297018
42.857143,1000,147.22107
19.205298,1000,195.768771
-39.597315,1000,247.99553
16.766467,1000,300.808463
248.837209,1000,352.865092
94.34629,1000,403.703435
86.915888,1000,455.713084
-11.564626,1000,508.161309
8.910891,1000,562.937742
37.614679,1000,615.686615
332.989691,1000,669.508842
242.629482,1000,721.599879
254.477612,1000,774.649024
179.503106,1000,828.458247
347.183099,1000,881.202513
218.181818,1000,934.215323
-10.034602,1000,988.297039
383.516484,1000,1041.919704
178.745645,1000,1095.499609
73.144876,1000,1143.815216
164.285714,1000,1197.705419
104.204204,1000,1251.257811
465.359477,1000,1309.901139
557.807309,1000,1363.855152
623.484848,1000,1417.936679
449.242424,1000,1471.305551
200.675676,1000,1523.986812
486.956522,1000,1576.359518
328.125,1000,1629.320403
312.162162,1000,1683.467447
61.931818,1000,1736.69263
216.546763,1000,1789.64069
-76.588629,1000,1842.611534
507.717042,1000,1896.438764
452.980132,1000,1962.968099
442.857143,1000,2037.038707
157.042254,1000,2112.516809
201.939058,1000,2188.977526
595.652174,1000,2265.600037
501.973684,1000,2334.466976
357.680251,1000,2385.281542
261.788618,1000,2441.434656
469.131833,1000,2498.905432
488.652482,1000,2556.448085
739.416058,1000,2613.784609
33.883562,306,2633.654466
394.08284,1000,2690.852623
773.786408,1000,2746.426119
-33.566434,1000,2802.300198
475.539568,1000,2859.550011
452.727273,1000,2916.641168
560.31746,1000,2974.433301
524.573379,1000,3030.557021
14.263291,409,3048.315042
476.923077,1000,3105.328964
779.858657,1000,3165.140654
89.66793,874,3214.943873
870.684039,1000,3272.277703
863.636364,1000,3330.153148
315.162455,1000,3387.952591
872.222222,1000,3446.794654
831.506849,1000,3503.822771
852.727273,1000,3560.107114
656.013746,1000,3617.124013
804.59364,1000,3674.668273
706.020067,1000,3730.466514
848.717949,1000,3787.290542
871.731449,1000,3839.094494
762.745098,1000,3895.3404
407.55287,1000,3952.086465
396.478873,1000,4008.722824
848.616601,1000,4065.588813
866.257669,1000,4128.711641
648.366013,1000,4180.72874
199.003322,1000,4230.195845
865.034965,1000,4276.531425
834.42623,1000,4322.851355
907.0,930,4367.943718
881.818182,1000,4414.062055
831.271478,1000,4459.973752
821.501706,1000,4505.405145
896.503497,1000,4550.343478
848.717949,1000,4596.391993
884.555985,1000,4641.766343
919.4,806,4675.681141
923.0,770,4712.205893
831.034483,1000,4757.789111
604.301075,1000,4803.262181
850.0,1000,4848.88986
794.117647,1000,4890.164726
450.0,1000,4936.425062
775.912409,1000,4981.571956
892.0,1000,5030.778754
869.69697,1000,5075.663007
552.459016,1000,5120.250892
422.807018,1000,5165.566366
768.613139,1000,5209.327073
701.282051,1000,5254.852227
668.060837,1000,5299.13494
663.44086,1000,5344.265124
502.941176,1000,5389.044559
675.384615,1000,5434.174928
628.682171,1000,5479.040029
801.515152,1000,5523.842755
807.590759,1000,5569.813947
692.079208,1000,5614.84768
573.716012,1000,5659.126926
823.58804,1000,5703.045055
120.0,1000,5747.473694
648.120301,1000,5792.778564
763.333333,1000,5833.830947
892.45283,1000,5878.729898
530.434783,1000,5926.922268
724.104235,1000,5973.662685
841.935484,1000,6020.289977
882.935154,1000,6067.362998
829.6875,1000,6116.776778
88.855556,418,6138.475206
548.93617,1000,6186.46551
762.068966,1000,6233.720523
533.440514,1000,6281.305501
778.472222,1000,6330.476446
722.08589,1000,6377.518952
818.727915,1000,6423.940424
805.844156,1000,6471.919156
