#{"t_start": 1679052708.6412108, "env_id": "CarRacing-v0"}
r,l,t
-25.531915,1000,48.424124
-11.184211,1000,97.389605
-21.052632,1000,147.31987
-22.818792,1000,195.870163
-40.397351,1000,248.103913
-8.450704,1000,300.9191
96.363636,1000,352.966971
78.082192,1000,403.804661
215.960912,1000,455.818991
190.780142,1000,508.269197
204.18251,1000,563.049981
195.373665,1000,615.792481
155.882353,1000,669.61325
-0.763359,1000,721.701677
5.263158,1000,774.769177
162.626263,1000,828.563449
77.865613,1000,881.295326
-29.292929,1000,934.327073
218.84058,1000,988.383736
103.773585,1000,1042.00956
99.312715,1000,1095.583626
174.305556,1000,1143.931894
118.954248,1000,1197.815542
210.769231,1000,1251.363131
385.611511,1000,1310.010599
18.466899,1000,1363.961468
402.906977,1000,1418.030489
479.470199,1000,1471.413168
405.050505,1000,1524.085239
286.018237,1000,1576.46998
55.709343,1000,1629.427893
174.914089,1000,1683.577162
-66.521053,982,1735.883504
475.949367,1000,1788.846935
406.622517,1000,1841.807048
692.857143,1000,1895.625988
554.867257,1000,1961.850853
325.925926,1000,2036.013872
687.671233,1000,2111.439774
888.235294,1000,2187.852923
177.966102,1000,2264.56484
360.377358,1000,2326.918398
410.344828,1000,2384.461971
733.935018,1000,2440.712148
668.729642,1000,2498.14029
718.755017,983,2554.781915
770.229008,1000,2612.215052
706.338028,1000,2669.258357
440.350877,1000,2725.482148
522.222222,1000,2781.267029
547.058824,1000,2838.464109
492.465753,1000,2895.341783
438.461538,1000,2952.410674
305.315615,1000,3010.23997
545.833333,1000,3065.561365
627.564103,1000,3121.759013
245.047923,1000,3181.404709
448.821549,1000,3237.542991
590.322581,1000,3295.939407
863.333333,1000,3353.556541
414.084507,1000,3411.82724
360.750853,1000,3470.104787
809.722222,1000,3521.188604
54.109589,1000,3577.863822
545.522388,1000,3634.117186
805.228758,1000,3691.237326
577.192982,1000,3747.470908
848.051948,1000,3804.3702
886.30137,1000,3861.517467
838.983051,1000,3918.595712
770.0,1000,3974.584207
353.020134,1000,4031.397767
462.962963,1000,4088.034132
646.212121,1000,4148.925822
854.397394,1000,4200.700634
929.3,707,4233.338504
749.840256,1000,4280.088347
872.222222,1000,4325.95018
797.810219,1000,4373.734617
792.156863,1000,4419.721249
869.69697,1000,4465.920333
874.264706,1000,4510.855324
839.799331,1000,4556.140388
836.666667,1000,4601.803963
822.297297,1000,4646.923148
862.121212,1000,4692.341566
882.014388,1000,4737.577106
704.560261,1000,4783.048852
889.473684,1000,4828.498055
552.777778,1000,4874.621798
877.358491,1000,4921.143455
619.557196,1000,4966.443596
669.516729,1000,5009.489901
306.716418,1000,5056.402519
856.790123,1000,5100.567834
882.578397,1000,5145.545969
555.487805,1000,5190.291187
845.945946,1000,5234.724235
851.768489,1000,5279.192726
490.705797,978,5323.952972
593.290735,1000,5368.295933
483.870968,1000,5413.461249
796.193772,1000,5458.952199
874.452555,1000,5503.614254
921.0,790,5536.6583
78.827811,550,5566.400812
707.189542,1000,5611.721954
888.326848,1000,5651.322868
587.719298,1000,5695.055807
226.164875,1000,5739.016334
659.450172,1000,5784.050746
815.540541,1000,5830.000737
853.571429,1000,5874.814759
209.597523,1000,5922.978881
878.494624,1000,5969.596454
545.833333,1000,6016.238283
331.6,685,6047.495081
720.338983,1000,6094.827228
450.185874,1000,6144.994832
860.13289,1000,6193.323368
870.479705,1000,6240.124762
337.5,1000,6288.261948
440.983607,1000,6337.027334
753.242321,1000,6384.053902
383.885915,972,6429.192474
861.538462,1000,6477.100029
