#{"t_start": 1679052708.6386745, "env_id": "CarRacing-v0"}
r,l,t
-31.506849,1000,48.356322
25.0,1000,97.317134
1.265823,1000,147.238553
-27.899687,1000,195.787932
-24.398625,1000,248.021944
-14.191419,1000,300.828531
49.635036,1000,352.882728
65.467626,1000,403.721783
-26.910299,1000,455.733374
245.890411,1000,508.183122
119.607843,1000,562.956415
8.77193,1000,615.704223
118.045113,1000,669.528736
392.647059,1000,721.617974
200.341297,1000,774.668152
174.647887,1000,828.47679
347.761194,1000,881.219192
256.401384,1000,934.238386
196.296296,1000,988.313107
330.555556,1000,1041.935424
257.692308,1000,1095.516957
96.666667,1000,1143.842706
470.422535,1000,1197.727951
468.027211,1000,1251.277643
378.688525,1000,1309.921849
416.483516,1000,1363.874302
449.079755,1000,1417.955432
566.666667,1000,1471.326339
288.513514,1000,1524.005376
518.243243,1000,1576.386084
651.824818,1000,1629.351065
514.583333,1000,1683.490506
364.285714,1000,1736.717101
612.727273,1000,1789.662301
566.666667,1000,1842.637246
605.298013,1000,1896.45438
584.931507,1000,1963.002704
650.0,1000,2037.064729
229.545455,1000,2112.545224
250.649351,1000,2189.00397
529.62963,1000,2265.632657
694.788274,1000,2334.489263
396.91358,1000,2385.302003
55.797101,1000,2441.453124
598.961938,1000,2498.930232
406.756757,1000,2556.466986
375.694444,1000,2613.813061
571.826625,1000,2670.861176
828.104575,1000,2727.075486
167.568421,799,2773.746197
344.444444,1000,2830.424133
214.487633,1000,2887.664789
507.594937,1000,2944.793671
518.374558,1000,3003.25508
744.827586,1000,3058.237988
477.922078,1000,3109.025198
838.77551,1000,3168.862049
130.590228,985,3223.506446
305.572755,1000,3281.791584
-12.819355,355,3304.053094
770.928736,717,3342.874045
635.915493,1000,3400.902432
377.777778,1000,3459.292484
851.492537,1000,3516.437446
215.642458,1000,3572.921232
856.228956,1000,3629.084705
783.870968,1000,3686.318348
171.084337,1000,3742.725537
632.937685,1000,3799.065701
877.695167,1000,3856.777604
850.331126,1000,3913.43323
833.110368,1000,3969.680772
892.857143,1000,4026.573092
527.240143,1000,4082.898193
848.012232,1000,4144.361185
867.741935,1000,4196.225153
892.753623,1000,4244.839906
885.611511,1000,4291.467223
892.727273,1000,4338.356496
826.045016,1000,4385.640265
854.716981,1000,4426.781759
570.846395,1000,4472.793732
807.142857,1000,4517.564037
886.15917,1000,4563.079008
865.648855,1000,4608.919927
843.708609,1000,4654.036028
901.1,989,4698.463669
537.010676,1000,4744.131611
564.383562,1000,4789.481516
616.088328,1000,4834.899683
878.461538,1000,4880.453756
730.065359,1000,4926.975378
816.0,1000,4972.275607
506.666667,1000,5021.356842
337.5,1000,5066.387029
548.74552,1000,5110.738445
868.253968,1000,5156.223733
881.818182,1000,5200.54417
800.343643,1000,5245.697571
318.772563,1000,5290.116033
710.077519,1000,5335.795367
829.078014,1000,5375.465268
432.679739,1000,5420.757634
151.866667,649,5453.459004
349.122807,1000,5497.871444
712.92517,1000,5543.069213
403.703704,1000,5588.934551
-45.512821,1000,5629.474441
628.26087,1000,5673.810845
773.287671,1000,5717.039734
858.62069,1000,5761.813985
829.62963,1000,5807.284607
889.547038,1000,5852.115368
861.538462,1000,5898.255035
723.333333,1000,5946.188984
234.346505,1000,5993.140806
518.729097,1000,6040.319652
739.285714,1000,6087.538149
484.229391,1000,6137.724918
738.323353,1000,6185.619234
873.063973,1000,6233.003505
541.577061,1000,6280.299683
831.654676,1000,6329.68285
886.206897,1000,6376.853167
563.333333,1000,6423.224562
835.606061,1000,6471.186676
