#{"t_start": 1679052708.6422513, "env_id": "CarRacing-v0"}
r,l,t
-32.038835,1000,48.464352
0.323625,1000,97.446861
1.818182,1000,147.355878
-40.625,1000,195.912435
-17.266187,1000,248.152428
-28.813559,1000,300.961294
108.823529,1000,353.004849
-31.271478,1000,403.848615
248.387097,1000,455.862037
147.491639,1000,508.303617
210.126582,1000,563.095124
141.721854,1000,615.834537
-38.080495,1000,669.650905
132.0,1000,721.742392
256.902357,1000,774.81516
62.790698,1000,828.600782
189.473684,1000,881.333404
-29.26045,1000,934.361444
208.823529,1000,988.421173
256.466877,1000,1042.046866
105.357143,1000,1095.626979
463.265306,1000,1143.976885
310.0,1000,1197.863401
190.429043,1000,1251.403509
347.368421,1000,1310.050778
446.099291,1000,1364.007148
652.542373,1000,1418.077917
442.857143,1000,1471.457893
258.62069,1000,1524.125283
410.714286,1000,1576.508815
608.77193,1000,1629.473827
401.901141,1000,1683.620469
-25.487291,694,1719.025927
407.042254,1000,1772.001492
55.487805,1000,1825.123132
605.882353,1000,1878.520549
481.818182,1000,1934.398208
66.101695,1000,2011.068032
439.249147,1000,2086.134708
69.381107,1000,2162.31774
335.251799,1000,2238.852354
450.17301,1000,2314.149755
165.57377,1000,2371.702434
177.286136,1000,2428.281895
388.215488,1000,2485.564092
366.165414,1000,2543.264108
693.442623,1000,2600.014975
54.929577,1000,2657.336578
360.4811,1000,2713.805314
750.847458,1000,2769.349007
157.839721,1000,2826.075849
858.762887,1000,2877.488211
232.344214,1000,2934.480177
255.371901,1000,2992.238786
888.142292,1000,3047.419292
17.298168,513,3076.812306
739.215686,1000,3133.631471
882.269504,1000,3192.89048
851.310861,1000,3249.133775
650.819672,1000,3307.25729
870.149254,1000,3364.810513
-5.476398,298,3384.262753
831.972789,1000,3442.99981
593.227092,1000,3499.988355
430.744337,1000,3556.507339
856.081081,1000,3607.912535
343.396226,1000,3665.452669
784.758364,1000,3720.665399
868.19788,1000,3777.120431
885.663082,1000,3835.469724
341.860465,1000,3891.560928
283.141762,1000,3948.132601
856.363636,1000,4004.980354
868.858131,1000,4061.917803
444.827586,1000,4125.082431
840.350877,1000,4176.675381
718.815331,1000,4226.901298
883.552632,1000,4273.286029
860.13289,1000,4319.688371
826.174497,1000,4367.415629
853.333333,1000,4413.553128
739.041096,1000,4459.55284
933.8,662,4488.551128
878.26087,1000,4533.090289
815.857605,1000,4578.620036
840.972222,1000,4624.579534
836.026936,1000,4669.905839
918.8,812,4703.481561
896.805112,1000,4749.312608
886.394558,1000,4794.507668
444.554455,1000,4840.055044
614.285714,1000,4885.613912
419.756839,1000,4932.078057
484.097859,1000,4977.338109
596.864111,1000,5026.538843
836.567164,1000,5071.136109
475.757576,1000,5115.692633
385.074627,1000,5161.152679
861.832061,1000,5205.020737
933.1,669,5233.830757
537.873754,1000,5278.328512
603.832753,1000,5323.866975
434.883721,1000,5368.212571
742.465753,1000,5413.375493
674.647887,1000,5458.865328
748.797251,1000,5503.526393
280.0,1000,5548.510637
517.940199,1000,5594.290825
864.539007,1000,5638.666713
823.664122,1000,5683.152193
447.337278,1000,5726.591193
300.576369,1000,5771.70559
768.167203,1000,5817.801544
549.635036,1000,5862.386982
830.555556,1000,5909.391925
410.48951,1000,5952.18946
781.756757,1000,5999.046834
385.049834,1000,6046.448651
569.014085,1000,6093.768174
861.403509,1000,6143.94923
585.185185,1000,6192.254426
660.147601,1000,6239.063273
628.873239,1000,6286.922687
791.304348,1000,6335.974356
889.619377,1000,6383.010209
584.027778,1000,6429.255379
552.037618,1000,6477.161697
