#{"t_start": 1679052708.6392245, "env_id": "CarRacing-v0"}
r,l,t
-29.292929,1000,48.372489
-3.426791,1000,97.335407
-19.54023,1000,147.256478
-31.654676,1000,195.809806
-28.571429,1000,248.039533
1.369863,1000,300.847776
54.676259,1000,352.90721
-53.020134,1000,403.739238
67.785235,1000,455.751594
68.965517,1000,508.200485
137.931034,1000,562.98516
207.228916,1000,615.721347
211.764706,1000,669.549534
-39.799331,1000,721.637766
251.449275,1000,774.686926
104.946996,1000,828.503644
194.520548,1000,881.235774
239.233038,1000,934.262895
307.665505,1000,988.330636
419.572954,1000,1041.955751
310.071942,1000,1095.533974
221.192053,1000,1143.864065
181.632653,1000,1197.754819
350.331126,1000,1251.298836
356.081081,1000,1309.947014
421.594684,1000,1363.896703
390.974729,1000,1417.97216
601.030928,1000,1471.354612
195.774648,1000,1524.029332
97.916667,1000,1576.40388
414.084507,1000,1629.369191
514.035088,1000,1683.510124
445.816733,1000,1736.733955
406.849315,1000,1789.68288
373.856209,1000,1842.655396
324.418605,1000,1896.472544
400.0,1000,1963.031571
188.343558,1000,2037.092462
274.172185,1000,2112.575942
350.171821,1000,2189.04162
206.930693,1000,2265.666358
234.693878,1000,2334.512495
596.245734,1000,2385.319228
665.079365,1000,2441.471782
630.519481,1000,2498.952259
458.641975,1000,2556.486122
720.945946,1000,2613.923662
11.475758,462,2640.503495
592.041522,1000,2697.73207
111.297297,861,2747.214847
389.285714,1000,2803.142689
337.5,1000,2860.30342
536.619718,1000,2917.478444
822.077922,1000,2975.179873
640.072202,1000,3031.232707
568.965517,1000,3087.908867
401.845018,1000,3146.003182
521.722846,1000,3198.009622
263.29588,1000,3254.380446
214.493548,598,3293.878263
736.309524,1000,3351.690734
193.706294,1000,3404.058184
425.679758,1000,3462.391558
845.392491,1000,3519.159475
839.799331,1000,3575.907269
464.45993,1000,3632.089906
889.247312,1000,3689.319375
842.675159,1000,3745.615493
850.757576,1000,3802.14828
872.125436,1000,3859.63238
601.257862,1000,3916.66329
481.081081,1000,3972.621876
834.256055,1000,4029.382098
523.333333,1000,4085.963614
466.308244,1000,4147.061836
298.601399,1000,4198.679881
779.858657,1000,4247.289856
834.027778,1000,4293.388378
804.109589,1000,4340.832687
872.027972,1000,4387.663803
846.619217,1000,4433.831797
629.372937,1000,4479.716567
928.8,712,4509.415199
876.821192,1000,4554.6254
888.0,1000,4600.330114
875.524476,1000,4645.406712
844.785276,1000,4690.88063
798.648649,1000,4736.147081
444.025157,1000,4781.712732
787.850467,1000,4827.227005
374.40273,1000,4873.377874
874.637681,1000,4920.036454
640.875912,1000,4960.402157
429.801325,1000,5007.8234
198.780488,1000,5054.92742
869.040248,1000,5099.113096
740.0,1000,5144.074006
846.37224,1000,5188.869863
861.538462,1000,5233.251699
807.749077,1000,5277.765548
488.447653,1000,5323.28582
244.051447,1000,5367.638036
405.535055,1000,5412.791819
862.264151,1000,5458.290192
862.457338,1000,5502.92426
207.042254,1000,5547.891055
862.837838,1000,5593.66927
884.47205,1000,5638.132888
867.741935,1000,5682.691851
394.915254,1000,5726.070316
452.112676,1000,5771.170613
539.072848,1000,5817.306869
800.383142,1000,5861.93857
548.550725,1000,5903.688456
609.570957,1000,5951.590934
846.969697,1000,5998.431845
830.40293,1000,6045.752065
410.385757,1000,6093.140119
828.327645,1000,6143.278856
838.223938,1000,6191.617755
487.030717,1000,6238.432564
579.738562,1000,6286.295178
873.977695,1000,6335.32423
702.721088,1000,6382.368071
430.46595,1000,6428.622149
859.854015,1000,6476.53251
