Episode 152/500, total reward: 30.587301587301347
Episode 153/500, total reward: 140.40000000000143
Episode 154/500, total reward: -0.023952095808357415
Episode 155/500, total reward: 172.77368421052776
Episode 156/500, total reward: 98.69230769230914
Episode 157/500, total reward: 129.09180327868967
Episode 158/500, total reward: 23.86237942122154
Episode 159/500, total reward: 6.528143712574762
Episode 160/500, total reward: 102.81159420289916
Episode 161/500, total reward: 24.697435897435533
Episode 162/500, total reward: 86.71924290220907
Episode 163/500, total reward: 43.16116504854341
Episode 164/500, total reward: 65.69253731343379
Episode 165/500, total reward: -0.015613382900382805
Episode 166/500, total reward: -0.12602739726025514
Episode 167/500, total reward: -0.019926199261982996
Episode 168/500, total reward: 9.080866425992706
Episode 169/500, total reward: 11.726213592232918
Episode 170/500, total reward: -0.11069182389936538
Episode 171/500, total reward: 24.79411764705857
Episode 172/500, total reward: 89.86666666666775
Episode 173/500, total reward: 95.63448275862174
Episode 174/500, total reward: 75.08571428571526
Episode 175/500, total reward: 74.3546558704468
Episode 176/500, total reward: 19.733779264213844
Episode 177/500, total reward: 131.9003802281379
Episode 178/500, total reward: 11.345985401459748
Episode 179/500, total reward: 53.45945945945965
Episode 180/500, total reward: 145.7155234657051
Episode 181/500, total reward: 13.783783783783663
Episode 182/500, total reward: 43.49230769230751
Episode 183/500, total reward: 82.12664576802601
Episode 184/500, total reward: -0.05420560747661907
Episode 185/500, total reward: -0.03067092651752043
Episode 186/500, total reward: 120.94845360824866
Episode 187/500, total reward: -0.002832861189762087
Episode 188/500, total reward: 28.748148148147983
Episode 189/500, total reward: 62.1084745762715
Episode 190/500, total reward: 111.55072463768195
Episode 191/500, total reward: 84.41303116147391
Episode 192/500, total reward: 441.08396946564164
Episode 193/500, total reward: 44.77777777777743
Episode 194/500, total reward: 200.0493150684953
Episode 195/500, total reward: 230.66153846154074
Episode 196/500, total reward: 7.192961876832824
Episode 197/500, total reward: 89.44705882353034
Episode 198/500, total reward: 111.36619718309957
Episode 199/500, total reward: 120.41444043321377
Episode 200/500, total reward: 9.878369905956092
Episode 201/500, total reward: 34.963440860214845
Episode 202/500, total reward: 301.67407407407103
Episode 203/500, total reward: 10.211764705882288
Episode 204/500, total reward: 115.61650165016624
Episode 205/500, total reward: 243.13483146067583
Episode 206/500, total reward: 28.09999999999956
Episode 207/500, total reward: 105.2938775510215
Episode 208/500, total reward: 66.6405797101458
Episode 209/500, total reward: 1.2350168350168786
Episode 210/500, total reward: -0.1333333333333263
Episode 211/500, total reward: -0.1999999999999821
Episode 212/500, total reward: -0.030985915492890842
Episode 213/500, total reward: 26.385987261146333
Episode 214/500, total reward: 162.84054982817977
Episode 215/500, total reward: 6.741463414634195
Episode 216/500, total reward: 29.23291139240483
Episode 217/500, total reward: 147.29122807017725
Episode 218/500, total reward: 141.78018018018133
Episode 219/500, total reward: 116.84476534296189
Episode 220/500, total reward: 80.66586345381617
Episode 221/500, total reward: -0.014492753623121163
Episode 222/500, total reward: 2.0845070422535557
Episode 223/500, total reward: 40.09181494661874
Episode 224/500, total reward: 184.62105263158023
Episode 225/500, total reward: 39.37735849056584
Episode 226/500, total reward: 54.21558441558443
Episode 227/500, total reward: 277.6573426573412
Episode 228/500, total reward: 4.967801857585211
Episode 229/500, total reward: 10.658631921824053
Episode 230/500, total reward: 0.4486486486486807
Episode 231/500, total reward: 82.62941176470626
Episode 232/500, total reward: 163.18181818182165
Episode 233/500, total reward: 150.95595667870222
Episode 234/500, total reward: 19.673684210526105
Episode 235/500, total reward: 38.55037593984937
Episode 236/500, total reward: 6.237354085603069
Episode 237/500, total reward: 26.52054794520528
Episode 238/500, total reward: 10.258631921824055
Episode 239/500, total reward: 25.673539518900128
Episode 240/500, total reward: 12.963157894736591
Episode 241/500, total reward: 253.61456953642272
Episode 242/500, total reward: 25.268874172185136
Episode 243/500, total reward: 29.159516616313994
Episode 244/500, total reward: 21.300369003689884
Episode 245/500, total reward: 219.9533568904617
Episode 246/500, total reward: 319.54968553458224
Episode 247/500, total reward: 30.309554140127055
Episode 248/500, total reward: 25.50429042904274
Episode 249/500, total reward: 193.52343234323536
Episode 250/500, total reward: 57.947079037800755
Episode 251/500, total reward: 15.961038961038716
Episode 252/500, total reward: 0.2501845018450677
Episode 253/500, total reward: 23.33333333333313
Episode 254/500, total reward: 57.67292418772588
Episode 255/500, total reward: 13.571428571428475
Episode 256/500, total reward: 33.0666666666663
Episode 257/500, total reward: 90.28111888111972
Episode 258/500, total reward: 27.23157894736812
Episode 259/500, total reward: 99.74146341463543
Episode 260/500, total reward: 70.42255639097831
Episode 261/500, total reward: 132.53382899628326
Episode 262/500, total reward: 16.411846689895192
Episode 263/500, total reward: 12.949128919860113
Episode 264/500, total reward: 23.60064308681659
Episode 265/500, total reward: 21.263345195729244
Episode 266/500, total reward: 106.32258064516486
Episode 267/500, total reward: -0.025531914893716506
Episode 268/500, total reward: 178.90063694267923
Episode 269/500, total reward: 13.772027972027876
Episode 270/500, total reward: 14.629268292682479
Episode 271/500, total reward: 131.14693877551147
Episode 272/500, total reward: 31.755414012738655
Episode 273/500, total reward: 30.941516245487158
Episode 274/500, total reward: 75.33136531365597
Episode 275/500, total reward: 76.07540983606626
Episode 276/500, total reward: 40.25161290322562
Episode 277/500, total reward: 130.23270440251667
Episode 278/500, total reward: 292.09677419354455
Episode 279/500, total reward: 15.914893617021113
Episode 280/500, total reward: 10.298442367601051
Episode 281/500, total reward: -0.11833910034594874
Episode 282/500, total reward: 53.79133126935003
Episode 283/500, total reward: 19.88794788273597
Episode 284/500, total reward: 26.78644067796553
Episode 285/500, total reward: 37.73710247349801
Episode 286/500, total reward: 156.4000000000016
Episode 287/500, total reward: 15.328404669260562
Episode 288/500, total reward: 94.16737588652553
Episode 289/500, total reward: 123.14700315457597
Episode 290/500, total reward: 19.865573770491658
Episode 291/500, total reward: 89.24584717608056
Episode 292/500, total reward: 24.897674418604517
Episode 293/500, total reward: 24.58776758409759
Episode 294/500, total reward: 48.83891050583633
Episode 295/500, total reward: 73.79114391144043
Episode 296/500, total reward: 1.9454545454545804
Episode 297/500, total reward: 0.08450704225355493
Episode 298/500, total reward: -0.10056497175140999
Episode 299/500, total reward: 29.549128919860358
Episode 300/500, total reward: 4.938461538461597
Episode 301/500, total reward: 42.17184115523449
Episode 302/500, total reward: 25.404040404040252
Episode 303/500, total reward: 192.9372549019627
Episode 304/500, total reward: 35.698220640569154
Episode 305/500, total reward: 16.552351097178438
Episode 306/500, total reward: 23.335099337748183
Episode 307/500, total reward: 28.746391752577082
Episode 308/500, total reward: 60.90395136778188
Episode 309/500, total reward: 23.93333333333316
Episode 310/500, total reward: 26.01226993865017
Episode 311/500, total reward: 24.89304029304015
Episode 312/500, total reward: 25.101639344262097
Episode 313/500, total reward: 14.147712418300449
Episode 314/500, total reward: 33.193050193050006
Episode 315/500, total reward: 18.720634920634758
Episode 316/500, total reward: 66.59233449477405
Episode 317/500, total reward: 77.96410256410329
Episode 318/500, total reward: 44.14509803921549
Episode 319/500, total reward: 31.290909090908592
Episode 320/500, total reward: -0.08379204892965864
Episode 321/500, total reward: 79.07900355872012
Episode 322/500, total reward: 180.4526748971212
Episode 323/500, total reward: 29.370700636942487
Episode 324/500, total reward: 95.94237288135709
Episode 325/500, total reward: 192.25723905724095
Episode 326/500, total reward: 22.677966101694757
Episode 327/500, total reward: 27.3941176470586
Episode 328/500, total reward: 54.665753424657964
Episode 329/500, total reward: 170.52173913043603
Episode 330/500, total reward: 24.73639575971707
Episode 331/500, total reward: -0.10632911392403488
Episode 332/500, total reward: -0.030225080386011544
Episode 333/500, total reward: 66.77142857142952
Episode 334/500, total reward: 17.133333333333166
Episode 335/500, total reward: 22.655072463767937
Episode 336/500, total reward: 68.20521172638502
Episode 337/500, total reward: 9.716723549487929
Episode 338/500, total reward: 146.4794520547962
Episode 339/500, total reward: 2.7393939393939912
Episode 340/500, total reward: 16.218320610686717
Episode 341/500, total reward: 39.70149253731322
Episode 342/500, total reward: -0.19999999999998833
Episode 343/500, total reward: 9.535099337748102
Episode 344/500, total reward: 88.6000000000009
Episode 345/500, total reward: 24.41568627450966
Episode 346/500, total reward: 282.6074349442345
Episode 347/500, total reward: 9.766023166023151
Episode 348/500, total reward: -0.19735973597354187
Episode 349/500, total reward: 17.446575342465596
Episode 350/500, total reward: 17.799999999999756
Episode 351/500, total reward: 24.335099337748197
Episode 352/500, total reward: 22.199999999999818
Episode 353/500, total reward: 23.133779264213892
Episode 354/500, total reward: 171.74915254237473
Episode 355/500, total reward: 12.888030888030784
Episode 356/500, total reward: 10.031847133757786
Episode 357/500, total reward: 170.00547112462215
Episode 358/500, total reward: -0.15044247787609213
Episode 359/500, total reward: 70.64927536231926
Episode 360/500, total reward: 16.931818181818002
Episode 361/500, total reward: 12.172670807453157
Episode 362/500, total reward: 105.85714285714445
Episode 363/500, total reward: 133.94248366013284
Episode 364/500, total reward: 3.2214532871973027
Episode 365/500, total reward: 35.827118644067525
Episode 366/500, total reward: 116.33071895424985
Episode 367/500, total reward: 294.7131782945719
Episode 368/500, total reward: 118.05714285714365
Episode 369/500, total reward: 28.104950495049266
Episode 370/500, total reward: 266.3920529801293
Episode 371/500, total reward: 134.87441860465293
Episode 372/500, total reward: 23.671794871794653
Episode 373/500, total reward: 70.02649006622572
Episode 374/500, total reward: 5.733333333333084
Episode 375/500, total reward: 21.767938931297547
Episode 376/500, total reward: 12.754340836012739
Episode 377/500, total reward: 83.71335740072259
Episode 378/500, total reward: -0.099009900990086
Episode 379/500, total reward: 13.708196721311365
Episode 380/500, total reward: 10.693040293040056
Episode 381/500, total reward: 31.15104895104878
Episode 382/500, total reward: -0.15897435897430126
Episode 383/500, total reward: 181.04054982818047
Episode 384/500, total reward: 51.00494699646614
Episode 385/500, total reward: 24.08050314465394
Episode 386/500, total reward: -0.17406143344709127
Episode 387/500, total reward: 29.34520547945185
Episode 388/500, total reward: 4.006853582554578
Episode 389/500, total reward: 21.423841059602516
