Episode 152/500, total reward: 17.68823529411749
Episode 153/500, total reward: 100.87844522968513
Episode 154/500, total reward: 15.783783783783667
Episode 155/500, total reward: 16.57894736842091
Episode 156/500, total reward: 73.29314079422484
Episode 157/500, total reward: -0.12750809061488033
Episode 158/500, total reward: 12.637383177570012
Episode 159/500, total reward: 35.347619047618835
Episode 160/500, total reward: 62.33333333333365
Episode 161/500, total reward: 270.8434163701046
Episode 162/500, total reward: -0.12714776632301705
Episode 163/500, total reward: 41.06849315068466
Episode 164/500, total reward: 132.70226537217073
Episode 165/500, total reward: 102.80540540540737
Episode 166/500, total reward: -0.19999999999998833
Episode 167/500, total reward: 224.21342281879524
Episode 168/500, total reward: -0.027160493827155657
Episode 169/500, total reward: 90.4756183745599
Episode 170/500, total reward: 124.2484641638238
Episode 171/500, total reward: 40.05168539325808
Episode 172/500, total reward: 62.38907849829463
Episode 173/500, total reward: 13.745907473309368
Episode 174/500, total reward: 74.34646840148866
Episode 175/500, total reward: 32.833449477351664
Episode 176/500, total reward: 167.16769759450418
Episode 177/500, total reward: 52.89552238805953
Episode 178/500, total reward: 133.21201413427718
Episode 179/500, total reward: 6.0923076923076565
Episode 180/500, total reward: 180.84210526315982
Episode 181/500, total reward: 11.726213592232968
Episode 182/500, total reward: 31.914285714285413
Episode 183/500, total reward: 65.01052631578989
Episode 184/500, total reward: 64.4324909747296
Episode 185/500, total reward: 33.1028753993607
Episode 186/500, total reward: 53.93731343283546
Episode 187/500, total reward: -0.10072992700729044
Episode 188/500, total reward: 6.3970802919707435
Episode 189/500, total reward: 30.924999999999777
Episode 190/500, total reward: 80.58461538461668
Episode 191/500, total reward: 82.85034013605583
Episode 192/500, total reward: 80.31428571428826
Episode 193/500, total reward: 115.2988847583653
Episode 194/500, total reward: 50.4351097178681
Episode 195/500, total reward: 203.69375000000144
Episode 196/500, total reward: 15.239143730886688
Episode 197/500, total reward: -0.19047619047612555
Episode 198/500, total reward: 70.26582278481129
Episode 199/500, total reward: 37.33421926910285
Episode 200/500, total reward: 14.703030303030195
Episode 201/500, total reward: 16.56363636363616
Episode 202/500, total reward: 123.1172413793121
Episode 203/500, total reward: -0.15774647887323093
Episode 204/500, total reward: 44.8425992779779
Episode 205/500, total reward: 41.49113924050608
Episode 206/500, total reward: 104.25957446808599
Episode 207/500, total reward: 81.22291021671862
Episode 208/500, total reward: 61.20305343511549
Episode 209/500, total reward: 37.61924398625407
Episode 210/500, total reward: 125.44415584415685
Episode 211/500, total reward: 137.06253869969234
Episode 212/500, total reward: -0.1999999999999528
Episode 213/500, total reward: 49.693959731542776
Episode 214/500, total reward: 86.51111111111183
Episode 215/500, total reward: 71.62222222222324
Episode 216/500, total reward: 94.01772151898813
Episode 217/500, total reward: -0.18798798798796282
Episode 218/500, total reward: 67.77297297297402
Episode 219/500, total reward: 0.9342756183745907
Episode 220/500, total reward: 68.1959183673475
Episode 221/500, total reward: 214.14496644295417
Episode 222/500, total reward: 40.26435986159133
Episode 223/500, total reward: 71.24827586206999
Episode 224/500, total reward: 35.28717948717929
Episode 225/500, total reward: -0.07958477508649708
Episode 226/500, total reward: 179.00628930818021
Episode 227/500, total reward: 11.585209003215413
Episode 228/500, total reward: 97.37931034482816
Episode 229/500, total reward: -0.04067796610166782
Episode 230/500, total reward: 51.91282051282031
Episode 231/500, total reward: 111.62758620689742
Episode 232/500, total reward: 96.16687116564496
Episode 233/500, total reward: 34.76173285198531
Episode 234/500, total reward: -0.06572438162540917
Episode 235/500, total reward: 46.445182724252284
Episode 236/500, total reward: 175.38380062305475
Episode 237/500, total reward: 43.77306397306379
Episode 238/500, total reward: 27.97986577181191
Episode 239/500, total reward: 24.746391752577132
Episode 240/500, total reward: -0.07671232876707923
Episode 241/500, total reward: -0.1371647509578443
Episode 242/500, total reward: -0.13288590604024864
Episode 243/500, total reward: 23.77977528089871
Episode 244/500, total reward: 46.466666666666484
Episode 245/500, total reward: 27.98677685950392
Episode 246/500, total reward: 229.69629629629824
Episode 247/500, total reward: 6.136599423631193
Episode 248/500, total reward: 30.62711864406767
Episode 249/500, total reward: -0.06486486486484577
Episode 250/500, total reward: 44.61578947368374
Episode 251/500, total reward: 119.69382716049523
Episode 252/500, total reward: 94.22857142857215
Episode 253/500, total reward: 119.6676258992818
Episode 254/500, total reward: -0.08256227758006252
Episode 255/500, total reward: 0.9032258064516393
Episode 256/500, total reward: 46.945323741007016
Episode 257/500, total reward: 38.49315068493122
Episode 258/500, total reward: -0.1912225705328702
Episode 259/500, total reward: 11.07532467532397
Episode 260/500, total reward: 33.81639344262275
Episode 261/500, total reward: 80.50503597122436
