Episode 1/500, total reward: -0.08534201954396736
Episode 2/500, total reward: -0.12714776632301705
Episode 3/500, total reward: -0.04210526315787286
Episode 4/500, total reward: -0.07543252595201833
Episode 5/500, total reward: 67.30697674418897
Episode 6/500, total reward: -65.52926829268338
Episode 7/500, total reward: 7.547368421052285
Episode 8/500, total reward: 40.293150684931184
Episode 9/500, total reward: 42.688888888889494
Episode 10/500, total reward: -0.13548387096822234
Episode 11/500, total reward: 32.886956521738824
Episode 12/500, total reward: 79.43076923077199
Episode 13/500, total reward: 86.63478260869715
Episode 14/500, total reward: 44.64444444444415
Episode 15/500, total reward: 99.58787878787948
Episode 16/500, total reward: 35.66666666666632
Episode 17/500, total reward: 22.123076923076404
Episode 18/500, total reward: 25.264359861591196
Episode 19/500, total reward: 54.585915492958016
Episode 20/500, total reward: 51.302702702702405
Episode 21/500, total reward: 39.33642384105922
Episode 22/500, total reward: 55.05168539325855
Episode 23/500, total reward: 47.0680851063827
Episode 24/500, total reward: -0.19459459459465803
Episode 25/500, total reward: 52.37041800643073
Episode 26/500, total reward: 54.53956834532374
Episode 27/500, total reward: 25.22056074766307
Episode 28/500, total reward: 14.20805860805812
Episode 29/500, total reward: 74.43455149501798
Episode 30/500, total reward: 56.666165413534344
Episode 31/500, total reward: 46.168421052631295
Episode 32/500, total reward: -0.09085173501576738
Episode 33/500, total reward: 95.49534050179265
Episode 34/500, total reward: 23.768749999999798
Episode 35/500, total reward: 36.58888888888838
Episode 36/500, total reward: 80.43037974683622
Episode 37/500, total reward: 55.68148148148168
Episode 38/500, total reward: 25.0683544303795
Episode 39/500, total reward: -0.0659932659932585
Episode 40/500, total reward: -0.05714285714280121
Episode 41/500, total reward: 54.66966292134866
Episode 42/500, total reward: 38.175438596490864
Episode 43/500, total reward: 70.07665505226531
Episode 44/500, total reward: -0.05714285714284828
Episode 45/500, total reward: -0.1371647509578443
Episode 46/500, total reward: 57.50617283950603
Episode 47/500, total reward: 87.4688524590175
Episode 48/500, total reward: 45.8524590163933
Episode 49/500, total reward: 120.23508771930199
Episode 50/500, total reward: 33.23157894736825
Episode 51/500, total reward: 25.071042471042325
Episode 52/500, total reward: 31.028571428571276
Episode 53/500, total reward: 89.78947368421125
Episode 54/500, total reward: 119.05128205128352
Episode 55/500, total reward: -15.425085910651916
Episode 56/500, total reward: 19.549999999999734
Episode 57/500, total reward: 26.625157232704247
Episode 58/500, total reward: 13.09999999999943
Episode 59/500, total reward: 65.16363636363873
Episode 60/500, total reward: 265.0149253731274
