#{"t_start": 1679041556.130639, "env_id": "CarRacing-v0"}
r,l,t
-66.542751,1000,40.663297
-31.750742,1000,80.210799
-63.576159,1000,125.87334
-18.644068,1000,168.456957
-78.873239,1000,211.221394
108.201893,1000,255.753757
160.273973,1000,298.563306
59.259259,1000,347.688451
21.323529,1000,403.742707
105.479452,1000,450.643297
-1.574803,1000,497.612091
-10.891089,1000,542.458185
31.313131,1000,586.368581
11.940299,1000,632.140494
70.818505,1000,680.370991
0.746269,1000,728.013048
203.135889,1000,773.38608
224.817518,1000,818.883754
115.946844,1000,865.400922
259.430605,1000,912.719054
-93.098444,360,925.637634
64.383562,1000,973.009767
45.658263,1000,1021.000479
123.404255,1000,1068.431674
170.758123,1000,1112.81476
269.649805,1000,1158.184433
82.156134,1000,1204.387339
64.335664,1000,1248.079802
285.76779,1000,1294.088626
217.269076,1000,1338.941298
-111.766667,452,1359.720316
-35.37415,1000,1403.622778
22.257053,1000,1449.41046
156.704981,1000,1493.7417
126.480836,1000,1541.354523
19.298246,1000,1585.498448
44.827586,1000,1633.992797
90.972222,1000,1681.473412
328.571429,1000,1730.273169
383.108108,1000,1779.617564
261.702128,1000,1825.753949
328.571429,1000,1871.301663
31.205674,1000,1916.790011
315.09434,1000,1960.933829
575.862069,1000,2006.250161
-84.919217,384,2023.806096
693.220339,1000,2070.100876
455.932203,1000,2117.676923
455.555556,1000,2164.557022
175.618375,1000,2210.893268
9.540636,1000,2256.846358
346.215139,1000,2304.186952
597.674419,1000,2346.857579
797.526502,1000,2394.755611
207.189542,1000,2440.930768
272.168285,1000,2486.775991
288.059701,1000,2532.756732
70.648464,1000,2580.590486
211.797753,1000,2627.221038
668.729642,1000,2673.707105
148.201439,1000,2720.410632
347.183099,1000,2766.611399
114.983713,1000,2812.139159
521.527778,1000,2857.034558
335.37415,1000,2901.855455
159.385666,1000,2947.792029
119.354839,1000,2992.532383
217.307692,1000,3037.709515
423.648649,1000,3082.714481
256.161224,970,3126.792495
416.363636,1000,3175.753541
313.919414,1000,3222.049822
404.761905,1000,3264.31456
29.692833,1000,3314.734413
221.428571,1000,3365.914841
34.680135,1000,3416.316256
374.637681,1000,3466.924145
116.986219,764,3508.783659
412.658228,1000,3560.360721
473.529412,1000,3610.661517
144.680851,1000,3657.22617
235.740072,1000,3711.16444
219.488818,1000,3766.388671
345.182724,1000,3819.53773
139.886942,420,3837.13313
307.665505,1000,3890.420269
122.560976,1000,3945.718803
420.754717,1000,4001.712489
230.882353,1000,4057.282813
232.225914,1000,4114.261234
70.886076,1000,4170.445834
61.403509,1000,4227.248446
193.90681,1000,4282.76031
92.222628,816,4331.463809
109.150327,1000,4388.740556
202.583026,1000,4437.581562
258.62069,1000,4491.901405
120.504502,722,4534.947387
291.752577,1000,4590.039656
232.179931,1000,4645.865776
278.006873,1000,4701.995203
