#{"t_start": 1679041556.127404, "env_id": "CarRacing-v0"}
r,l,t
-52.830189,1000,40.572991
-44.055944,1000,80.079517
-58.990536,1000,125.780562
79.331307,1000,168.365542
130.519481,1000,211.133931
-28.327645,1000,255.661745
268.02974,1000,298.469164
-5.109489,1000,347.59644
117.948718,1000,403.604065
274.570447,1000,450.544769
-13.333333,1000,497.502697
8.552632,1000,542.358269
-56.521739,1000,586.273055
42.361111,1000,632.046176
-14.564964,643,661.805181
41.304348,1000,709.896473
-23.875433,1000,755.599167
-50.35461,1000,801.532584
326.356589,1000,847.634883
9.89011,1000,894.440121
-7.936508,1000,940.628046
126.229508,1000,988.741622
70.138889,1000,1036.179853
38.297872,1000,1083.147794
377.732794,1000,1128.051
240.248963,1000,1173.430795
101.465201,1000,1219.537639
30.29316,1000,1258.646155
138.095238,1000,1305.764778
-30.909091,1000,1349.612591
178.388278,1000,1393.3115
26.811594,1000,1439.003144
-35.779817,1000,1482.828717
97.60479,1000,1530.319147
74.757282,1000,1578.692008
257.664234,1000,1626.654702
-41.747573,1000,1674.796413
482.758621,1000,1723.222892
357.337884,1000,1772.662193
505.839416,1000,1819.074517
423.809524,1000,1864.822782
225.842697,1000,1910.329665
127.015254,680,1939.909311
-40.625,1000,1983.87489
857.597173,1000,2028.876121
30.872483,1000,2075.194029
480.204778,1000,2122.59624
207.210031,1000,2168.967515
144.755245,1000,2215.399706
204.054054,1000,2260.779406
231.034483,1000,2308.749773
366.049383,1000,2356.396579
259.621451,1000,2404.529827
656.097561,1000,2449.804154
141.758242,1000,2496.001465
59.42029,1000,2542.010458
249.834983,1000,2589.893817
160.623229,1000,2632.42755
355.516014,1000,2678.571155
382.889734,1000,2725.285181
233.333333,1000,2771.403103
302.061856,1000,2816.842695
351.505017,1000,2861.744189
406.944444,1000,2906.905785
570.175439,1000,2952.369047
394.949495,1000,2997.332833
216.546763,1000,3042.382228
307.942238,1000,3087.328875
401.915709,1000,3132.362642
215.602837,1000,3180.96325
28.440367,1000,3227.55191
400.0,1000,3274.58024
321.568627,1000,3325.620563
139.202658,1000,3376.413081
691.245791,1000,3427.245099
280.622837,1000,3478.779508
310.25641,1000,3530.212323
308.668731,1000,3582.168682
125.56391,1000,3627.471507
354.861111,1000,3672.657067
330.976431,1000,3728.489804
584.782609,1000,3782.386172
177.602524,1000,3835.853515
151.229712,428,3859.95405
235.347432,1000,3913.182592
453.745928,1000,3969.033888
311.971831,1000,4025.397256
242.948718,1000,4080.645153
72.413793,1000,4137.94582
66.123779,1000,4194.434294
400.0,1000,4250.380689
297.260274,1000,4306.343396
56.351792,1000,4364.049266
17.834395,1000,4419.432548
60.91954,1000,4473.680908
240.909091,1000,4528.943159
401.915709,1000,4584.368985
494.095941,1000,4634.529463
343.729904,1000,4690.321556
168.138801,1000,4746.093184
433.536585,1000,4802.203936
