#{"t_start": 1679041556.1290329, "env_id": "CarRacing-v0"}
r,l,t
-66.887417,1000,40.623521
-19.191919,1000,80.14395
104.633205,1000,125.833522
52.777778,1000,168.415276
17.449664,1000,211.184847
-42.760943,1000,255.715039
40.625,1000,298.523098
91.881919,1000,347.650445
39.68254,1000,403.677503
84.66899,1000,450.599689
87.943262,1000,497.565509
130.769231,1000,542.414356
72.757475,1000,586.327417
22.743682,1000,632.099524
-17.241379,1000,680.326843
-34.640523,1000,727.970233
36.200717,1000,773.346893
189.962825,1000,818.8458
259.060403,1000,865.362232
243.558282,1000,912.685277
114.007782,1000,959.086145
193.75,1000,1002.75133
64.233577,1000,1049.868064
234.375,1000,1096.106785
117.54386,1000,1140.733066
7.38255,1000,1187.273721
50.537634,1000,1231.366891
24.637681,1000,1275.147153
99.324324,1000,1322.514856
-94.875676,693,1351.468835
223.741007,1000,1395.122998
89.102564,1000,1440.914674
160.714286,1000,1484.722119
65.605096,1000,1532.280453
132.55814,1000,1580.635943
-49.66443,1000,1629.027723
291.304348,1000,1676.864936
69.139466,1000,1725.18172
377.61194,1000,1774.707995
287.681159,1000,1821.065575
163.513514,1000,1866.78317
568.896321,1000,1912.217148
306.593407,1000,1956.596871
13.805882,260,1965.986064
246.749226,1000,2011.54042
280.28169,1000,2056.693832
207.984791,1000,2104.154965
215.436242,1000,2151.034827
542.857143,1000,2197.146413
454.455446,1000,2243.770274
422.222222,1000,2289.792106
504.575163,1000,2337.362565
179.411765,1000,2385.272061
276.666667,1000,2431.864767
421.172638,1000,2477.343711
85.667752,1000,2523.147694
398.194946,1000,2571.132176
21.019108,1000,2617.988019
187.066246,1000,2664.357866
60.0,1000,2711.304234
228.413284,1000,2757.73294
267.741935,1000,2803.557492
393.506494,1000,2848.55709
347.761194,1000,2889.291331
411.029412,1000,2935.078283
395.384615,1000,2979.557233
267.892977,1000,3024.84679
279.928315,1000,3069.851598
311.575563,1000,3114.714275
251.973684,1000,3163.022256
271.428571,1000,3209.257951
154.658385,1000,3255.906847
426.515152,1000,3305.618047
120.532319,1000,3356.79241
161.66936,987,3406.550439
188.590604,1000,3457.033278
265.671642,1000,3509.194323
125.490196,1000,3560.788532
60.655738,1000,3611.005111
309.252669,1000,3657.523314
338.356164,1000,3711.546848
335.606061,1000,3766.838144
286.440678,1000,3819.935594
40.939597,1000,3867.640237
52.416357,1000,3921.468195
83.870968,1000,3977.403534
73.469388,1000,4033.567549
93.220339,1000,4089.133965
233.333333,1000,4146.366693
77.083333,1000,4203.371119
288.489209,1000,4259.05227
195.302013,1000,4314.817832
224.503311,1000,4371.96876
76.258993,1000,4427.597943
222.222222,1000,4481.515688
517.886179,1000,4537.252192
82.9653,1000,4592.521384
512.698413,1000,4648.211407
289.937107,1000,4704.147601
266.101695,1000,4760.060259
61.184211,1000,4816.006593
