#{"t_start": 1679041556.1279426, "env_id": "CarRacing-v0"}
r,l,t
-59.752322,1000,40.59191
-54.716981,1000,80.098323
3.559871,1000,125.797132
126.11465,1000,168.382226
28.289474,1000,211.14995
95.205479,1000,255.68031
54.08805,1000,298.48631
1.167315,1000,347.61386
-16.666667,1000,403.624376
60.130719,1000,450.562073
109.302326,1000,497.522763
-48.220065,1000,542.37623
82.156134,1000,586.291313
7.692308,1000,632.062942
93.050193,1000,680.284131
194.820717,1000,727.936043
55.234657,1000,773.31263
-41.979522,1000,818.811326
328.115016,1000,865.325367
201.038062,1000,912.651073
112.57485,1000,959.049982
200.380228,1000,1002.713114
230.827068,1000,1049.826582
458.704453,1000,1096.0685
258.778626,1000,1140.688995
188.808664,1000,1187.230403
50.406504,1000,1231.315027
59.722222,1000,1275.103321
49.837134,1000,1322.465616
43.34471,1000,1366.386567
114.285714,1000,1410.769141
55.405405,1000,1456.048701
62.711864,1000,1500.743695
39.622642,1000,1548.827818
255.871886,1000,1597.04804
0.346021,1000,1645.737895
-28.813559,1000,1692.86968
430.685921,1000,1743.008976
457.971014,1000,1790.788311
225.949367,1000,1837.298564
392.0,1000,1882.85239
456.313993,1000,1928.52977
264.963504,1000,1967.690745
219.066148,1000,2013.307102
31.691729,451,2033.923055
251.535836,1000,2080.277155
141.691843,1000,2127.732928
50.0,1000,2173.847195
453.691275,1000,2220.345138
456.313993,1000,2266.40628
60.132468,575,2292.849754
201.204819,1000,2340.3152
60.502439,835,2381.556558
451.236749,1000,2428.531138
229.113924,1000,2473.694162
271.710526,1000,2520.194206
222.884013,1000,2567.869331
372.727273,1000,2614.804546
337.735849,1000,2661.517204
320.0,1000,2703.47013
250.453172,1000,2749.868041
178.996865,1000,2795.720158
400.0,1000,2840.589403
268.243243,1000,2885.820276
140.705825,992,2931.405573
106.666667,1000,2975.826355
387.878788,1000,3021.148409
524.454148,1000,3066.049906
373.744526,811,3104.241335
733.333333,1000,3151.444061
251.791531,1000,3198.857275
291.566265,1000,3245.689544
72.18543,1000,3288.960191
297.350993,1000,3340.074564
458.441558,1000,3391.067103
16.4,587,3424.948519
439.007092,1000,3470.596211
472.992701,1000,3522.235732
6.026646,226,3536.537863
520.567376,1000,3587.71095
361.538462,1000,3636.712547
414.792899,1000,3684.026
529.893238,1000,3740.619206
668.733333,847,3782.455128
255.932203,1000,3835.935243
98.473282,1000,3889.28512
423.255814,1000,3944.397386
182.758621,1000,4000.420553
253.535354,1000,4056.070614
172.44582,1000,4112.92839
278.737542,1000,4169.187003
234.405145,1000,4226.076265
612.280702,1000,4281.636434
288.198758,1000,4338.416282
61.016949,1000,4394.858237
184.671533,1000,4450.023566
792.857143,1000,4504.173316
226.984127,1000,4560.080073
127.118644,1000,4615.528254
40.350877,1000,4671.678718
57.509158,1000,4727.360204
