#{"t_start": 1679002175.3242364, "env_id": "CarRacing-v0"}
r,l,t
-28.104575,1000,41.346567
-33.993399,1000,83.758955
-71.119134,1000,127.688536
-14.0625,1000,177.495794
17.283951,1000,233.135261
174.509804,1000,280.351794
29.449838,1000,329.467577
263.013699,1000,382.686915
25.0,1000,435.925304
53.846154,1000,489.833356
120.447284,1000,543.875915
400.0,1000,596.961859
398.25784,1000,651.376765
458.823529,1000,705.450493
197.202797,1000,758.793591
60.535117,1000,812.125126
495.070423,1000,866.032877
435.25641,1000,920.826633
583.229814,1000,975.553761
93.771626,1000,1031.698896
507.638889,1000,1088.741937
424.84472,1000,1138.17242
583.501684,1000,1193.511617
613.780919,1000,1247.625037
179.605263,1000,1301.329266
200.0,1000,1355.141462
761.313869,1000,1409.659459
292.982456,1000,1463.856764
43.34471,1000,1517.391692
486.538462,1000,1572.934309
234.365325,1000,1627.303986
67.192429,1000,1682.045253
75.438596,1000,1733.944893
517.46988,1000,1788.119452
908.0,920,1837.848274
450.522648,1000,1891.172336
664.084507,1000,1945.423075
381.617647,1000,2000.916159
843.7751,1000,2056.714761
623.684211,1000,2107.430619
733.333333,1000,2159.903887
279.310345,1000,2206.678255
498.615917,1000,2253.772461
847.530864,1000,2302.043335
631.060606,1000,2352.407171
258.064516,1000,2401.400496
173.480663,1000,2446.04892
557.738095,1000,2490.763701
497.069597,1000,2534.361001
-43.023741,978,2577.45027
526.712329,1000,2621.091952
765.57377,1000,2665.691344
477.419355,1000,2710.874778
644.827586,1000,2757.281357
398.452012,1000,2803.93835
541.196013,1000,2851.165751
890.506329,1000,2898.054494
-38.11195,923,2940.215665
556.25,1000,2988.897866
863.210702,1000,3033.284418
502.409639,1000,3078.239401
478.125,1000,3123.847371
883.108108,1000,3168.537588
412.729078,973,3213.188462
491.093117,1000,3258.172831
852.542373,1000,3303.000594
840.397351,1000,3348.108036
739.818051,953,3390.08767
581.15942,1000,3434.748182
644.107744,1000,3480.009552
189.473684,1000,3523.763408
268.794326,1000,3569.078533
855.835962,1000,3615.715592
248.387097,1000,3660.377641
758.945161,968,3699.494264
646.081505,1000,3746.28392
453.333333,1000,3794.564521
80.392157,1000,3840.475149
437.671233,1000,3886.009651
447.445255,1000,3931.889662
835.849057,1000,3975.802468
270.629371,1000,4022.913581
736.990596,1000,4070.997487
337.974684,1000,4117.674565
667.175573,1000,4165.54029
372.491909,1000,4213.031192
543.564356,1000,4261.514794
581.208054,1000,4314.281495
844.444444,1000,4360.463423
896.453901,1000,4408.754096
552.733119,1000,4458.822136
273.626374,1000,4509.864357
880.769231,1000,4560.517509
361.016949,1000,4608.043463
824.187726,1000,4649.451082
889.208633,1000,4700.018225
337.974684,1000,4117.674565
273.626374,1000,4509.864357
714.946619,1000,4749.301006
273.626374,1000,4509.864357
839.285714,1000,4800.491785
