#{"t_start": 1679002175.3247402, "env_id": "CarRacing-v0"}
r,l,t
-37.704918,1000,41.364161
-66.9967,1000,83.775193
22.923588,1000,127.707885
18.055556,1000,177.517932
-0.0,1000,233.159877
35.036496,1000,280.381236
284.0,1000,329.490981
221.766562,1000,382.711173
-33.333333,1000,435.946215
130.24055,1000,489.852639
53.333333,1000,543.903562
477.617329,1000,596.994857
342.996743,1000,651.400863
154.901961,1000,705.482637
32.013201,1000,758.816169
535.135135,1000,812.147974
396.453901,1000,866.055007
473.825503,1000,920.848345
187.037037,1000,975.577655
506.617647,1000,1031.726324
613.780919,1000,1088.763735
476.802508,1000,1138.199353
442.372881,1000,1193.531033
289.830508,1000,1247.647285
112.307692,1000,1301.357324
-23.344948,1000,1355.171524
558.783784,1000,1409.688149
447.101449,1000,1463.879244
743.003413,1000,1517.42464
313.559322,1000,1572.972695
298.496241,1000,1627.326962
508.208955,1000,1682.074886
296.666667,1000,1733.974158
583.453237,1000,1788.141326
793.772894,1000,1841.601557
885.239852,1000,1894.677223
587.5,1000,1948.703505
223.432343,1000,2003.969934
588.888889,1000,2060.154416
551.651652,1000,2115.804516
850.757576,1000,2167.861195
265.448505,1000,2214.402679
76.245211,1000,2257.482134
589.530686,1000,2305.364537
349.180328,1000,2355.688197
235.640138,1000,2404.459243
592.592593,1000,2449.110462
437.931034,1000,2493.738546
229.032258,1000,2537.476554
64.912281,1000,2581.243303
557.807309,1000,2625.152308
479.861111,1000,2669.604139
296.428571,1000,2714.827617
471.95572,1000,2761.395689
870.80292,1000,2807.750464
718.181818,1000,2855.583006
487.188612,1000,2901.949047
631.927711,1000,2951.559341
371.760797,1000,2999.71458
893.243243,1000,3044.425821
306.153846,1000,3089.261065
30.434783,1000,3134.958058
727.476038,1000,3180.279244
541.025641,1000,3220.67442
13.890323,475,3241.882413
209.677419,1000,3287.555206
133.807186,627,3318.947713
376.666667,1000,3363.957003
750.649351,1000,3407.46845
831.464174,1000,3447.892775
546.341463,1000,3492.081082
916.3,837,3530.862665
161.627907,1000,3575.523709
832.330827,1000,3622.193177
838.223938,1000,3666.928233
473.825503,1000,3711.776873
816.376307,1000,3759.196281
396.296296,1000,3807.555018
793.75,1000,3853.089638
417.54386,1000,3898.425318
328.571429,1000,3944.68714
17.704762,443,3960.33135
239.160839,1000,4004.784228
429.62963,1000,4054.206353
762.190813,1000,4100.477721
494.30605,1000,4146.593574
883.108108,1000,4195.759792
632.394366,1000,4243.844156
557.051282,1000,4294.906231
842.084942,1000,4344.206474
855.017301,1000,4390.39413
664.119601,1000,4441.786157
855.172414,1000,4491.514173
611.743772,1000,4541.819777
828.571429,1000,4589.95385
923.8,762,4623.62429
882.206406,1000,4670.351686
17.704762,443,3960.33135
224.324324,1000,4721.920195
842.084942,1000,4344.206474
446.296296,1000,4771.440836
