#{"t_start": 1679002175.3254673, "env_id": "CarRacing-v0"}
r,l,t
14.695341,1000,41.383164
-57.894737,1000,83.799079
-27.007299,1000,127.736216
-77.124183,1000,177.537972
-76.5625,1000,233.179296
218.021201,1000,280.41121
14.09396,1000,329.514667
144.37299,1000,382.737419
326.332288,1000,435.970519
24.528302,1000,489.871265
55.063291,1000,543.922983
414.492754,1000,597.020649
574.740484,1000,651.417731
248.837209,1000,705.510349
296.721311,1000,758.843721
521.323529,1000,812.167433
500.649351,1000,866.078983
683.216783,1000,920.874795
172.058824,1000,975.595365
298.753894,1000,1031.758545
488.235294,1000,1088.783331
500.0,1000,1138.223607
530.0,1000,1193.555276
259.735974,1000,1247.675211
131.404959,1000,1301.388613
526.229508,1000,1355.1951
650.0,1000,1409.707957
252.750809,1000,1463.9037
903.2,968,1515.837945
345.103858,1000,1571.370118
426.490066,1000,1625.802166
881.060606,1000,1680.486934
694.964029,1000,1732.722818
563.817664,1000,1786.481698
149.122807,1000,1839.982836
787.372014,1000,1893.13652
247.169811,1000,1947.203144
650.865052,1000,2002.626775
863.235294,1000,2058.628777
316.370107,1000,2114.599997
567.910448,1000,2166.845118
784.10596,1000,2208.463994
82.186235,1000,2255.77275
572.354949,1000,2304.006322
385.530547,1000,2354.327618
233.333333,1000,2403.155071
715.873016,1000,2447.809836
879.452055,1000,2492.484808
558.862876,1000,2536.175227
417.006803,1000,2579.967252
856.20438,1000,2623.790609
616.216216,1000,2668.321596
744.067797,1000,2713.541765
534.812287,1000,2760.049238
567.79661,1000,2806.392721
931.8,682,2837.00412
328.115016,1000,2884.038078
270.106762,1000,2933.599666
625.806452,1000,2982.519264
502.362205,1000,3026.792222
64.40855,290,3042.390519
838.697318,1000,3087.306779
782.352941,1000,3128.351931
6.815175,606,3158.367267
492.334495,1000,3204.300508
429.850746,1000,3249.060494
233.333333,1000,3294.857182
761.016949,1000,3334.827883
852.380952,1000,3379.387647
827.536232,1000,3423.302321
874.729242,1000,3468.506806
869.811321,1000,3511.912359
213.993174,1000,3557.283155
859.59596,1000,3602.296024
237.837838,1000,3648.332546
839.849624,1000,3693.147585
125.165563,1000,3739.689534
861.290323,1000,3788.1337
690.087464,1000,3834.069451
91.489362,1000,3879.677504
-24.657534,1000,3925.411048
925.8,742,3956.846026
304.761905,1000,4001.154869
885.294118,1000,4050.424236
866.555184,1000,4096.65492
847.194719,1000,4142.789113
862.585034,1000,4192.059998
842.307692,1000,4240.099675
866.101695,1000,4291.163434
874.276527,1000,4340.694135
764.40678,1000,4386.793013
667.361111,1000,4437.809867
825.19685,1000,4487.727596
903.7,963,4536.652384
32.142857,1000,4585.341195
620.538721,1000,4632.252111
765.942029,1000,4680.352549
448.148148,1000,4726.169106
250.769231,1000,4776.243651
667.361111,1000,4437.809867
842.307692,1000,4240.099675
